bedrijf,domein,vertical,naam,rol,adres,postcode,plaats,kvk
Loavies,loavies.com,fashion-dames,Anna Meilink,Founder And Co-owner,Ceintuurbaan 16,8024AA,Zwolle,68888961
Nukus,nukus.nl,fashion-dames,Nick Vervoort,Owner,Overschieseweg 101,3044EH,Rotterdam,67805922
10DAYS,10days.nl,fashion-dames,,,Cornelis Schuytstraat 18 H,1071JJ,Amsterdam,62578820
MAICAZZ,maicazz.nl,fashion-dames,,,Jollesweg 9,7602CZ,Almelo,64694909
Estseven,estseven.com,fashion-dames,,,,,,
Ivy Beau,ivybeau.com,fashion-dames,,,,,,
Moscow Fashion,moscowfashion.nl,fashion-dames,,,,,,
Off The Pitch,offthepitch.com,fashion-streetwear,,,,,,
Twinlife,twinlife.nl,fashion,,,,,,
Shabbies Amsterdam,shabbiesamsterdam.com,schoenen,,,,,,
Fred de la Bretoniere,freddelabretoniere.com,schoenen,Gabin Van Hal,Online Marketeer,James Wattlaan 7,5151DP,Drunen,74328301
MYOMY do goods,myomydogoods.com,tassen,,,,,,
Buddha to Buddha,buddhatobuddha.com,sieraden,Dennis Rugebregt,Eigenaar,Pilotenstraat 34,1059CJ,Amsterdam,34116895
Violet Hamden,violethamden.com,sieraden,,,,,,
Nialaya,nialaya.com,sieraden,,,,,,
Fjory,fjory.nl,sieraden,,,,,,
CLUSE,cluse.com,horloges,Freddy Zweevel,Finance Director,Danzigerkade 16 E,1013AP,Amsterdam,64987655
Komono,komono.com,horloges-be,Lonneke Mai,Store Manager at,Leidsestraat 19,1017NT,Amsterdam,70104964
Cellcare,cellcare.be,supplementen-be,,,,,,
Walra,walra.nl,home-textiel,,,Parklaan 81,5613BB,Eindhoven,17060673
Difrax,difrax.com,baby,Corinne Sasse,Managing Director,Rembrandtlaan 42,3723BK,Bilthoven,51663872
BoJungle,bojungle.eu,baby-be,,,,,,
Z8,z8.nl,kinderkleding,Eline Onstenk,Online Marketeer,Foeke Sjoerdswei 1,8914BH,Leeuwarden,50132636
Quapi Kidswear,quapi.com,kinderkleding,,,,,,
Feetje,feetje.nl,kinderkleding,,,,,,
Dirkje,dirkje.nl,kinderkleding,,,Celsiusstraat 2,6003DG,Weert,17092838
Carnibest,carnibest.nl,huisdier,,,Eendenparkweg 55 A,3852LH,Ermelo,52619397
Fresh n Rebel,freshnrebel.com,elektronica,Bas De Wilde,Ceo,Linatebaan 101,3045AH,Rotterdam,65972910
Veloretti,veloretti.com,mobiliteit,Ferry Zonder,Founder,Moermanskkade 401,1013BC,Amsterdam,81408331
Charlie Temple,charlietemple.com,brillen,Laura V,Webshop Content Specialist,,,,
Loavies BE,loavies.be,fashion-dames,,,,,,
Bamboo Bamboo,bamboobamboo.nl,home,,,,,,
Frankie and Liberty,frankieandliberty.com,kinderkleding,,,Van Beverningkstraat 1,2582VB,'s-Gravenhage,27299450
Retour Jeans,retourjeans.com,kinderkleding,Vera Lenssinck,Marketing Manager,Habraken 1203,5507TB,Veldhoven,17182321
Raizzed,raizzed.com,kinderkleding,,,,,,
Indian Blue Jeans,indianbluejeans.com,kinderkleding,,,,,,
Blue Rebel,bluerebel.nl,kinderkleding,,,,,,
Tumble N Dry,tumblendry.com,kinderkleding,Anouk Van Wouwe,Manager Operations,Teleportboulevard 128 130,1043EJ,Amsterdam,87643189
Moodstreet,moodstreet.nl,kinderkleding,,,Rithmeesterpark 2 A,4838GZ,Breda,18072168
Koko Noko,kokonoko.nl,kinderkleding,,,,,,
Vinrose,vinrose.nl,kinderkleding,,,Nieuwstad 28,1381CC,Weesp,69623813
Floer,floer.nl,vloeren,Lennart Groenewold,Founder,Protonstraat 18,9743AL,Groningen,68335555
Osaka,osakaworld.com,sport-hockey,,,,,,
Born Sportscare,born.eu,sportvoeding,,,Kampstraat 60,6163HG,Geleen,14080927
Maxim Sports Nutrition,maximsport.com,sportvoeding,,,,,,
Sylver,sylver.nl,fashion-dames,,,,,,
Tramontana,tramontana.nl,fashion-dames,,,,,,
Esqualo,esqualo.com,fashion-dames,Peter Jansen,Owner,Heliumstraat 210,2718RS,Zoetermeer,54558832
Smashed Lemon,smashedlemon.com,fashion-dames,,,,,,
Poools,poools.nl,fashion-dames,,,,,,
Marlies Dekkers,marliesdekkers.com,lingerie,Anna Oscanoa,Product Owner,Stadsweide 2 Unit AO.56,6041TD,Roermond,58573089
LingaDore,lingadore.com,lingerie,Brenda Mendels,Eigenaar,Helmkamp 46 F,7091HR,Dinxperlo,09086984
Van Lier,vanlier.com,schoenen,,,,,,
Develab,develab.com,kinderschoenen,,,,,,
Shoesme,shoesme.nl,kinderschoenen,Michelle Mertens,Project Operations Manager,Trouwlaan 38,5021WL,Tilburg,51526395
Bunnies JR,bunniesjr.nl,kinderschoenen,,,,,,
Briljant Baby,briljantbaby.nl,baby,,,,,,
Trixie Baby,trixie-baby.com,baby-be,,,,,,
Springfield Nutraceuticals,springfieldnutra.com,supplementen,,,Polderweg 6,4585PG,Hengstdijk,23054383
Zenzee,zenzee.nl,verlichting,,,,,,
Yehwang,yehwang.com,sieraden,Dave Masbaitoeboen,Content Creator Creative Director,Galvanistraat 90,6716AE,Ede,50060570
Sencebeauty,sencebeauty.nl,beauty,,,,,,
Veneta,veneta.com,maatwerk-raamdecoratie,Dinno Van Breugel,Managing Director,Loggerweg 2,8042PG,Zwolle,52657841
Homey,homey.app,smart-home,Stefan Witkamp,"Founder, Commercial Director",Oude Markt 9 B,7511GA,Enschede,61036498
Matchu Sports,matchusports.com,maatwerk-sport,,,,,,
Trouwringen Circles,circles.nl,sieraden,,,,,,
